ch_name,weight_PC1,weight_PC2,weight_PC3,weight_PC4,weight_PC5,x,y,z,name,sub_name,WMvsGM,LvsR,Anat,Desikan_Killiany,fsaverageINF_coord_1,fsaverageINF_coord_2,fsaverageINF_coord_3,ScannerNativeRAS_coord_1,ScannerNativeRAS_coord_2,ScannerNativeRAS_coord_3,MGRID_coord_1,MGRID_coord_2,MGRID_coord_3,subINF_coord_1,subINF_coord_2,subINF_coord_3
sub-06 LsCC2,0.2471118945905315,0.014999345799794027,-0.19902183996157788,0.04067656442097734,-0.022348691232748887,-11.10829436,28.47945106,-3.956331119,LsCC2,sub-06 LsCC2,WM,L,Cerebral WM,Left-Cerebral-White-Matter,38.38633347,64.09033585,-27.8817749,-5.042839233,55.97159595,12.89147949,138.667,130.0,101.333,46.3431015,75.038414,-8.114256859
sub-08 RpTh14,-0.24603811974622447,0.14986830211425353,-0.1906324086509615,0.12807281838873164,-0.002206547660251482,57.43847369,-40.82851581,23.51087469,RpTh14,sub-08 RpTh14,GM,R,Supramarginal Gyrus,supramarginal,38.23841858,-35.24465942,11.29336071,51.7196579,-25.77050781,-7.517539978,74.5,133.75,175.75,36.73796463,-34.36956406,7.438316822
sub-05 LAMY9,0.23807256021385292,-0.04423062668948194,0.04995150352967838,-0.09049829842546413,0.07178807359435598,-63.76559473,-1.256944331,-20.88404616,LAMY9,sub-05 LAMY9,GM,L,Superior Temporal Gyrus (STG),superiortemporal,-38.26567078,3.680220604,-54.73366547,-60.45323582,15.77774581,-23.2747191,188.75,130.375,121.875,-44.29475403,33.59214783,-28.82650185
sub-06 LsCC3,0.23290918345429204,0.04800414974365241,-0.21506911930788555,0.029643510742868095,-0.04712447075914744,-16.39877881,29.63826009,-2.303484056,LsCC3,sub-06 LsCC3,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-8.49238205,59.2134819,-33.28395081,-9.708839233,56.63789595,14.89147949,143.333,128.0,100.6667,-4.795370579,65.62364197,-13.12764072
sub-06 LmCC1,0.23164076223353303,0.03572836163413904,-0.136921219017819,0.029445947388046838,0.034514980439762324,-7.767807951,34.75785662,10.41432953,LmCC1,sub-06 LmCC1,WM,L,Cerebral WM,Left-Cerebral-White-Matter,37.45747375,68.64631653,-6.756500244,-0.975839233,57.70459595,26.09147949,134.6,116.8,99.6,46.62195206,75.14147949,7.157829762
sub-08 RPHC1,-0.2206653119037425,0.061484031301023125,-0.06481428633901831,0.15649500323978854,-0.023278546575188342,27.54860144,-33.82241131,-9.504072561,RPHC1,sub-08 RPHC1,WM,R,Hippocampus,Right-Hippocampus,-7.426071167,-25.4182682,-38.354702,24.2196579,-4.520507813,-31.76753998,102.0,158.0,154.5,-6.57613039,11.06823635,-45.20267868
sub-06 LsCC4,0.2175547523962967,0.04689193301179884,-0.16486905374029107,0.02763637453870081,-0.045281342252341955,-21.12126295,30.29398592,-0.477046768,LsCC4,sub-06 LsCC4,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-9.674875259,59.33621216,-30.07710075,-13.87583923,56.80459595,16.89147949,147.5,126.0,100.5,-5.659338474,66.46647644,-12.15351963
sub-06 RsCC4,0.2162223825938245,0.05127079141040707,-0.17110799268768195,0.06701163520390006,-0.022483412492262926,12.71981555,30.99897992,3.882752732,RsCC4,sub-06 RsCC4,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-34.5087738,71.19417572,-15.17622566,17.12416077,55.80459595,18.39147949,116.5,124.5,101.5,-38.40668106,70.2440567,0.706089109
sub-06 RsCC3,0.21066097534734282,0.01221984092620502,-0.16824610078685817,0.09711200648076296,-0.012388079871847951,8.070157049,29.07293042,0.307404532,RsCC3,sub-06 RsCC3,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-35.91973495,63.21045685,-21.15871048,12.62416077,55.10459595,15.29147949,121.0,127.6,102.2,-38.66297531,70.16968536,-2.894916534
sub-06 RsCC5,0.2062373345239244,0.0496856299918505,-0.15174521224086587,0.0667267583404096,-0.05189421991672619,16.86973905,32.31923417,7.154782732,RsCC5,sub-06 RsCC5,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-34.39311218,70.8381424,-11.79035664,21.12416077,56.05459595,21.14147949,112.5,121.75,101.25,-36.18805313,72.49008942,10.93314648
sub-06 LmCC2,0.2045566665011756,0.07243549675384707,-0.1343557114109832,0.05122166523535332,0.06526171185189679,-7.474407632,30.15172012,13.2335213,LmCC2,sub-06 LmCC2,GM,L,Caudal Anterior Cingulate Cortex,caudalanteriorcingulate,38.87246323,61.31100082,-6.266106606,-0.804839233,52.87559595,27.46247949,134.429,115.429,104.429,47.07462311,68.02359772,8.544122696
sub-05 LAMY5,0.2031098832587598,0.026558647961135915,0.030858824115113193,-0.11739480833346878,0.12520358790334643,-42.06331398,-6.350493333,-20.19361166,LAMY5,sub-05 LAMY5,GM,L,Insula,insula,-17.03548813,31.37699318,-42.96032333,-40.703237,12.15274581,-25.89971894,169.0,133.0,125.5,-20.89904404,33.75930405,-18.91623497
