ch_name,weight,x,y,z,name,sub_name,WMvsGM,LvsR,Anat,Desikan_Killiany,fsaverageINF_coord_1,fsaverageINF_coord_2,fsaverageINF_coord_3,ScannerNativeRAS_coord_1,ScannerNativeRAS_coord_2,ScannerNativeRAS_coord_3,MGRID_coord_1,MGRID_coord_2,MGRID_coord_3,subINF_coord_1,subINF_coord_2,subINF_coord_3
sub-06 LsCC2,0.273501002255088,-11.10829436,28.47945106,-3.956331119,LsCC2,sub-06 LsCC2,WM,L,Cerebral WM,Left-Cerebral-White-Matter,38.38633347,64.09033585,-27.8817749,-5.042839233,55.97159595,12.89147949,138.667,130.0,101.333,46.3431015,75.038414,-8.114256859
sub-06 LsCC3,0.2600676216172283,-16.39877881,29.63826009,-2.303484056,LsCC3,sub-06 LsCC3,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-8.49238205,59.2134819,-33.28395081,-9.708839233,56.63789595,14.89147949,143.333,128.0,100.6667,-4.795370579,65.62364197,-13.12764072
sub-06 LmCC1,0.2505993767401956,-7.767807951,34.75785662,10.41432953,LmCC1,sub-06 LmCC1,WM,L,Cerebral WM,Left-Cerebral-White-Matter,37.45747375,68.64631653,-6.756500244,-0.975839233,57.70459595,26.09147949,134.6,116.8,99.6,46.62195206,75.14147949,7.157829762
sub-06 RsCC4,0.2390663926563986,12.71981555,30.99897992,3.882752732,RsCC4,sub-06 RsCC4,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-34.5087738,71.19417572,-15.17622566,17.12416077,55.80459595,18.39147949,116.5,124.5,101.5,-38.40668106,70.2440567,0.706089109
sub-06 LsCC4,0.23746085303240033,-21.12126295,30.29398592,-0.477046768,LsCC4,sub-06 LsCC4,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-9.674875259,59.33621216,-30.07710075,-13.87583923,56.80459595,16.89147949,147.5,126.0,100.5,-5.659338474,66.46647644,-12.15351963
sub-06 RsCC3,0.23503418298420406,8.070157049,29.07293042,0.307404532,RsCC3,sub-06 RsCC3,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-35.91973495,63.21045685,-21.15871048,12.62416077,55.10459595,15.29147949,121.0,127.6,102.2,-38.66297531,70.16968536,-2.894916534
sub-05 LAMY9,0.2282842096938938,-63.76559473,-1.256944331,-20.88404616,LAMY9,sub-05 LAMY9,GM,L,Superior Temporal Gyrus (STG),superiortemporal,-38.26567078,3.680220604,-54.73366547,-60.45323582,15.77774581,-23.2747191,188.75,130.375,121.875,-44.29475403,33.59214783,-28.82650185
sub-06 RsCC5,0.2251662724622522,16.86973905,32.31923417,7.154782732,RsCC5,sub-06 RsCC5,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-34.39311218,70.8381424,-11.79035664,21.12416077,56.05459595,21.14147949,112.5,121.75,101.25,-36.18805313,72.49008942,10.93314648
sub-06 LmCC2,0.22479938265116797,-7.474407632,30.15172012,13.2335213,LmCC2,sub-06 LmCC2,GM,L,Caudal Anterior Cingulate Cortex,caudalanteriorcingulate,38.87246323,61.31100082,-6.266106606,-0.804839233,52.87559595,27.46247949,134.429,115.429,104.429,47.07462311,68.02359772,8.544122696
sub-06 RsCC7,0.21747849816929737,25.22832125,35.47700342,14.10750933,RsCC7,sub-06 RsCC7,WM,R,Cerebral WM,Right-Cerebral-White-Matter,18.67710495,81.41156006,-2.304674625,29.22416077,56.90459595,27.09147949,104.4,115.8,100.4,10.56105518,79.276474,38.66629791
sub-08 RpTh14,-0.21289040615788601,57.43847369,-40.82851581,23.51087469,RpTh14,sub-08 RpTh14,GM,R,Supramarginal Gyrus,supramarginal,38.23841858,-35.24465942,11.29336071,51.7196579,-25.77050781,-7.517539978,74.5,133.75,175.75,36.73796463,-34.36956406,7.438316822
sub-06 RsCC6,0.2116149039178482,20.90141825,33.84495182,10.36517773,RsCC6,sub-06 RsCC6,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-33.97795105,69.8809433,-4.902857304,25.02416077,56.50459595,23.89147949,108.6,119.0,100.8,-36.18805313,72.49008942,10.93314648
sub-05 LOFC11,0.20969749443087318,-54.1011442,33.98656803,8.802736602,LOFC11,sub-05 LOFC11,GM,L,Inferior Frontal Gyrus (IFG),parstriangularis,-21.34867287,71.79947662,-13.31166744,-48.05243656,32.53374631,8.469279011,176.3492,98.631,105.119,-13.55037212,63.97648621,23.83631516
