Region,Electrodes
Unknown,160
Left-Cerebral-White-Matter,134
Right-Cerebral-White-Matter,90
insula,73
superiortemporal,57
middletemporal,51
Left-Thalamus-Proper,41
supramarginal,39
inferiortemporal,34
Right-Thalamus-Proper,31
parstriangularis,28
posteriorcingulate,28
caudalanteriorcingulate,21
Right-Hippocampus,21
parsopercularis,19
undefined,18
rostralmiddlefrontal,18
superiorfrontal,17
Left-Hippocampus,17
bankssts,16
superiorparietal,14
lateralorbitofrontal,14
fusiform,13
precuneus,12
isthmuscingulate,11
precentral,11
paracentral,10
inferiorparietal,8
transversetemporal,7
lingual,7
parahippocampal,5
Left-Putamen,5
Right-Putamen,5
medialorbitofrontal,5
Left-Amygdala,4
caudalmiddlefrontal,4
rostralanteriorcingulate,4
postcentral,4
Left-Inf-Lat-Vent,3
Left-Pallidum,3
Right-Amygdala,3
Right-Caudate,3
Right-Lateral-Ventricle,3
entorhinal,2
Left-Lateral-Ventricle,2
ctx-lh-bankssts,1
Right-choroid-plexus,1
Right-Inf-Lat-Vent,1
WM-hypointensities,1
Left-VentralDC,1
ctx-rh-middletemporal,1
ctx-rh-posteriorcingulate,1
