Electrode,Weight
POL LPTH7-Ref-0,-33799.76428401601
POL LHIP10-Ref-0,-32409.40625547093
POL LANT10-Ref,-29479.92656106208
POL LPTH6-Ref-0,-29472.928959485493
POL LHIP7-Ref-0,-27780.709047221844
POL RPTH7-Ref,-27102.865529334584
POL LpTH5-Ref-0,-26131.446152215434
POL RPTH11-Ref,-25891.862074313183
POL LHIP8-Ref-0,-24108.507177551273
POL LPTH8-Ref-0,-22763.31246634323
POL RPTH12-Ref,-21781.887888588986
POL LPTH9-Ref-1,-19991.847215594426
POL RPIN7-Ref-1,-19711.48212785383
POL RpTH7-Ref-1,-19329.175486182558
POL RPTH10-Ref,-18969.331630120247
POL LSL5-Ref,-18761.19469750317
POL LSL3-Ref,-18469.4761377276
POL LPTH8-Ref-1,-18440.46776435418
POL LPTH9-Ref-0,-18144.596271253366
POL LANT11-Ref,-17668.06836138318
POL LSL4-Ref,-17133.894408697088
POL RPTH6-Ref,-16764.20004421766
POL RPIN6-Ref-1,-16215.006334885704
POL LPTH10-Ref-0,-16002.771855352274
POL LHIP14-Ref,15982.478716417212
POL LIN2-Ref,15456.19519825341
POL RpIN6-Ref,-15227.377957948167
POL LPTH7-Ref-1,-15145.021458911555
POL LHIP11-Ref,-14186.194102280959
POL LIR6-Ref,14179.740692192563
POL LIN1-Ref,13999.597855862836
POL RpIN5-Ref,-13859.704152463404
POL LIR5-Ref,13623.397813460611
POL LIR4-Ref,13611.823222030722
POL LPTH5-Ref-0,-13609.649803717426
POL LpTH6-Ref-1,-13569.827709405936
POL LRMD11-Ref-1,-13459.358130313834
POL LHIP3-Ref-0,13334.360413933662
POL LSL1-Ref,-13166.895701230625
POL RPTH9-Ref,-12940.03076476392
POL LHIP4-Ref-0,12786.951881387287
POL LPTH10-Ref-1,-12785.566864887438
POL LIN6-Ref,12705.670504898813
POL LANT4-Ref,12561.79948347204
POL LSL6-Ref,-12549.460034201691
POL LANT3-Ref,12544.611217989785
POL LpTH7-Ref-1,-12456.077661579582
POL LIR2-Ref,12364.083974826874
POL LHIP2-Ref-0,12329.997997317709
POL LHIP1-Ref-0,12328.554430345319
POL RpTH6-Ref-1,-12211.106528200227
POL LANT2-Ref,12127.196503962155
POL LANT5-Ref,12093.198724200127
POL LPTH1-Ref-0,12043.776834228203
POL LANT1-Ref,12025.447725877173
POL LPTH2-Ref-0,12015.303653226278
POL RPIN8-Ref-1,-11695.398116039467
POL RPTH8-Ref,-11634.718582436735
POL LIN3-Ref,11621.369283910279
POL LIC8-Ref,11546.02397432826
POL LIR1-Ref,11544.025298876591
POL LIC7-Ref,11472.195345835094
POL LSL2-Ref,-11344.989999165824
POL RpTH10-Ref-1,-11318.151938884006
POL LHiP7-Ref,-11283.797745975022
POL LPIN7-Ref-0,-11230.267477803349
POL LpTH4-Ref-0,-11169.671233547295
POL LHiP8-Ref,-11140.609500365292
POL RpTH8-Ref-1,-10956.813530196663
POL LIN5-Ref,10841.153662474033
POL LPTH6-Ref-1,-10829.820715991971
POL LIN4-Ref,10804.42626787554
POL LHIP13-Ref,10664.432460546146
POL LHIP6-Ref-0,-10638.936443893286
POL LPTH3-Ref-0,10622.318115501492
POL LHIP12-Ref,-10621.25656621349
POL LANT9-Ref,-10586.718865898463
POL LANT14-Ref,10478.589208024152
POL RpTH11-Ref-1,-10457.482202706464
POL LIR3-Ref,10451.988492381766
POL LpTH6-Ref-0,-10330.714871875245
POL LPIN8-Ref-0,-10095.737355720788
POL LRMD10-Ref-1,-10035.978556679971
POL LIC3-Ref,9853.336270507272
POL LRMD12-Ref-1,-9792.3909247597
POL LSU6-Ref,9777.195178614196
POL RAMY11-Ref-0,-9754.122919394105
POL LHiP10-Ref,-9734.437651708366
POL LIC2-Ref,9587.333382502116
POL LHiP9-Ref,-9388.558146413205
POL LpTH7-Ref-0,-9295.024261158738
POL LIC6-Ref,9291.164496849051
POL RPIN5-Ref-1,-9234.826414325877
POL LpTh9-Ref,-9131.215849526221
POL LIL5-Ref,-9129.068051689183
POL LSU1-Ref,-9125.207047373258
POL LIC5-Ref,9069.092130749583
POL LHIP9-Ref-0,-8989.478463328353
POL LSR6-Ref,8775.81652935376
POL LSR5-Ref,8721.408716701319
POL LANT13-Ref,8611.759888420236
POL LPIN11-Ref-1,-8402.511587793231
POL LIC1-Ref,8328.757749671084
